,FRP,MOp,MOs,SSp-n,SSp-bfd,SSp-ll,SSp-m,SSp-ul,SSp-tr,SSs,GU,VISC,AUDd,AUDp,AUDv,VISal,VISam,VISl,VISp,VISpl,VISpm,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIp,AIv,RSPagl,RSPd,RSPv,PTLp,TEa,PERI,ECT,MOB,AOB,AON,TT,DP,PIR,NLOT,COAa,COAp,PAA,TR,CA1,CA2,CA3,DG,ENTl,ENTm,PAR,POST,PRE,SUBd,SUBv,CLA,EPd,EPv,LA,BLA,BMA,PA,CP,ACB,FS,OT,LSc,LSr,LSv,SF,AAA,CEA,IA,MEA,GPe,GPi,SI,MA,MS,NDB,TRS,BST,VAL,VM,VPL,VPM,VPMpc,SPFm,SPFp,SPA,PP,MGd,MGv,MGm,LGd,LP,PO,POL,AV,AMd,AMv,AD,LD,IMD,MD,SMT,PVT,PT,RE,RH,CM,CL,PF,RT,LGv,MH,LH,PVH,ARH,DMH,MEPO,MPO,PVp,PVpo,SBPV,AHN,MM,SUM,MPN,PMd,VMH,PH,LHA,LPO,RCH,STN,TU,SCs,ICc,ICd,ICe,SNr,VTA,RR,MRN,SCm,PAG,APN,MPT,NOT,NPC,CUN,RN,SNc,PPN,IPN,CLI,DR,NLL,PSV,PB,SOC,PCG,PG,PRNc,SUT,TRN,V,CS,NI,PRNr,DCO,VCO,NTS,SPVC,SPVI,SPVO,VII,AMB,GRN,IO,IRN,LRN,MARN,MDRNd,MDRNv,PARN,PGRNd,PGRNl,PRP,LAV,MV,SPIV,SUV,XII,RM,CENT,CUL,PYR,NOD,SIM,AN,PRM,PFL,FL,FN,IP,DN
FRP,0.0,2232.43141,1953.362486,3488.015195,4717.719258,3823.447397,2901.508228,3559.230956,4987.108381,4889.913087,3423.174696,4919.667164,6487.391618,6577.375997,6383.425804,6847.627326,6610.503007,7724.029065,7329.947135,7988.820313,7801.081656,2706.127307,3235.931087,1325.471614,1724.27521,1353.929466,1086.565691,1232.375754,2441.0551,5090.002456,3039.942434,7037.222463,6536.579763,6463.793391,6050.051653,7375.550827,6979.3893,7646.976527,2288.285384,831.0385069,2282.679347,2581.302966,2091.799465,5164.058481,5654.036169,5938.48676,6898.414673,6863.035043,7476.212276,6476.978462,5509.423745,6191.829294,6352.607732,7947.99503,8125.615361,7671.130947,7354.972808,7442.487823,6490.425641,7597.038897,3590.003482,4434.030334,6112.333842,6105.78619,6196.067301,6110.339598,6687.908866,3481.468799,3503.391214,4634.180079,4574.726768,3149.305479,2802.900284,3527.392805,3623.275452,5157.215819,5432.138161,5745.106613,5889.450314,4372.642222,4942.734567,4479.676328,4976.256123,3436.749918,4355.456348,3565.634586,4038.022412,4759.529914,5201.321947,5049.319261,5131.885618,5567.652108,5695.00878,6157.566484,5667.175222,6678.369936,6410.635694,6494.083846,6393.062646,5719.975961,5392.703404,5327.170919,6306.395563,3978.457616,4244.113571,4417.72,3963.111152,4594.766044,5130.423959,4726.65315,5013.357159,4272.440754,4022.8255,4841.551921,4926.332307,4901.40286,4842.132795,5460.368577,4528.589736,5916.766431,4798.241866,4980.587315,4771.137181,6336.501401,5855.659655,4250.661713,4631.954231,6599.763253,4783.565616,5311.367526,5203.124062,6807.119435,6431.465618,4904.589687,6374.803919,5983.414577,6108.088899,5499.261314,4475.907729,5766.985781,5837.433083,6064.033311,7149.606633,8461.493662,8611.075717,7990.423956,6878.317381,6580.843411,7250.991312,6797.334036,6886.35426,7240.036257,5851.388724,5838.075453,6079.576466,5772.023042,8058.303171,6812.763756,6754.304183,7832.663978,7124.736837,7256.764086,7712.530389,7828.992592,8753.213696,8286.208421,8780.304664,8778.168943,7719.253526,8715.252435,8504.484111,7988.350894,8646.458813,7910.989192,8746.034816,7975.117554,9529.19855,9198.131604,10430.03476,11258.13595,10410.8417,9699.67783,9624.123337,10694.06962,10151.38537,10948.4588,10333.01747,11254.91559,10047.07669,11104.19403,11248.69437,9979.917334,9788.800999,10578.84091,9706.859688,9334.780394,9471.17337,9876.360666,9085.771844,10819.10925,9404.154667,8919.711318,9534.77189,10716.05105,9979.886021,9088.79805,10134.19336,10607.57395,9600.260413,8822.591739,9716.159221,9496.479611,9550.654428
MOp,2232.43141,0.0,683.2825184,2400.260403,2822.343884,1599.609327,1713.548949,1522.538998,2762.019189,3538.184563,2902.692715,3811.577757,4504.581002,4723.412432,4713.345415,4713.676909,4407.805576,5621.9992,5141.193927,5845.831848,5646.293032,1344.200506,1721.55453,1767.943721,2000.156244,2143.157717,2218.811619,2267.432469,2569.776255,4151.882103,3060.841388,4871.729672,4414.535649,4410.569691,3843.257082,5587.486018,5443.172329,5847.969733,4305.955179,2844.841823,3363.870539,3321.426651,2570.384213,4600.679298,5167.869484,5431.908044,5871.168964,6060.424903,6260.291527,4413.756903,3462.116405,4384.204603,4454.562268,6364.402957,6360.080581,5838.878317,5274.052048,5492.551775,4383.705624,5899.046533,2939.919217,3944.854243,5179.466671,4835.610096,5084.412454,5199.879806,5552.533206,2293.060182,3681.881313,4179.339063,4952.587707,1898.189927,2553.673824,2885.95738,2430.149172,4644.956943,4436.566803,4915.66374,4965.694815,3256.33997,3820.749272,4201.934078,4798.632618,3237.861949,4541.337909,2464.244306,3442.473675,3456.425176,4091.607264,3569.050994,3599.479129,4245.438729,4526.104837,4592.725226,4322.976405,5044.365669,4560.838739,4724.073983,4677.739839,3846.670638,3496.426747,3652.56759,4558.16575,2578.395819,3135.881056,3378.794164,2493.742168,2779.950539,3768.45459,3320.767983,3972.562146,3080.58436,3124.599974,4055.937006,3898.878044,3742.158468,3183.355148,3936.765805,3175.984099,4223.372468,3180.507035,3326.597361,4227.735801,5797.844427,5042.196942,4132.568814,4497.638269,5837.861338,4570.694696,4883.198235,4729.296988,5813.830493,5370.17225,4712.350793,5461.055301,5380.17193,5052.350938,4693.945568,4247.204963,5386.383295,4670.853776,5452.866219,5087.546069,6425.972689,6555.961028,5971.442456,5480.077554,5329.282316,5638.317568,5137.363137,4922.20733,5424.654367,4058.478779,4075.306737,4117.644958,4060.326342,6206.851053,5316.36624,5322.182353,6162.842283,5917.400189,5824.248879,6031.842587,6171.861551,7206.680928,6507.207542,7506.830223,7106.247252,6601.372963,7274.312682,6812.763756,6744.720157,7067.885115,6525.43102,7173.693261,6549.141165,7797.555707,7607.356637,8769.015053,9570.037879,8786.17522,8139.026355,8233.544194,9226.083947,8702.621731,9622.045001,8790.122297,9800.159437,8742.210819,9441.828478,9706.280183,8413.085047,8246.855461,9198.2675,8119.45965,7652.164726,7801.402118,8174.273668,7340.470012,9228.386912,8098.263703,7030.380502,7520.01496,8846.680168,8225.303946,7035.712473,8127.768759,8720.772615,7926.458856,7122.98217,7864.715507,7634.011069,7717.107619
MOs,1953.362486,683.2825184,0.0,3006.76321,3471.13094,2015.099253,2324.462303,2175.718272,3219.569071,4161.505136,3383.969563,4392.465139,5087.791761,5331.158411,5322.006201,5239.811542,4723.677063,6126.989473,5562.598314,6291.114766,5967.516234,956.5563235,1538.87134,1257.477634,1723.006094,2133.365885,1827.908641,2083.416665,2867.163232,4677.205362,3366.470704,5125.243897,4615.327724,4579.983624,4307.406412,6153.606666,5999.479144,6394.3823,4090.919823,2640.312482,3289.946808,3108.456208,2331.308645,4993.558351,5406.015168,5711.282693,6215.203134,6400.634734,6700.979406,4897.256885,3916.391834,4863.447851,4871.729672,6879.407678,6798.43732,6249.95,5634.15921,5897.775004,4736.559933,6361.259702,3388.030401,4330.127019,5587.709728,5309.072424,5505.508605,5551.857797,5890.352281,2719.604751,3731.705374,4450.561762,5029.786278,1859.771491,2431.177698,2880.646629,2410.653438,4903.442668,4809.755711,5265.275396,5264.622494,3621.550082,4156.771584,4346.334663,4947.221442,3102.92201,4508.949434,2395.177446,3533.942558,3655.475345,4227.661883,3929.535596,3917.030125,4407.734679,4608.009332,4887.611891,4389.618434,5397.105706,4934.635245,5112.240213,5022.760695,4251.470334,3810.757799,3922.451402,4877.243074,2755.675961,3226.937403,3494.012736,2611.632631,3081.598611,3799.753281,3417.144276,4044.826943,3044.975369,3109.059343,4059.710581,3918.625397,3793.168201,3388.307099,4085.186654,3520.653348,4659.66737,3217.724351,3441.747376,4207.211071,5841.821206,5111.323214,4042.121967,4503.956594,5900.105931,4515.597967,4880.701794,4777.617084,5910.689469,5485.947958,4700.332435,5565.855729,5451.203995,5130.119394,4851.932605,4309.074727,5445.296135,4928.995841,5582.842018,5295.871033,6675.608586,6750.648117,6271.263828,5753.314262,5488.681536,5909.208915,5363.942114,5152.062694,5602.901034,4316.031163,4190.316217,4401.349225,4238.587619,6475.482607,5500.738587,5585.807909,6425.826795,6032.723266,5947.058096,6174.038387,6496.345126,7523.338687,6797.471957,7747.378589,7300.556486,6766.738505,7476.881034,7092.822076,6896.964912,7345.874693,6663.754572,7349.489778,6758.004513,8151.993621,7979.191688,8999.513876,9876.170817,9092.854337,8440.564258,8482.960863,9480.57224,8897.541795,9814.943963,9034.966796,10053.91715,8924.159624,9709.853243,9931.389631,8671.036559,8434.082641,9444.244279,8300.978858,7917.306992,8025.739841,8437.305553,7621.146567,9420.257427,8245.15009,7246.421531,7790.619359,9063.974018,8447.26287,7402.575565,8521.07681,9074.690077,8375.596994,7528.113974,8105.900629,7935.442647,8076.238295
SSp-n,3488.015195,2400.260403,3006.76321,0.0,1831.154008,2737.471461,736.5459931,1722.824715,3211.308145,1464.581852,1000.937061,1631.52536,3497.320403,3380.181208,3074.186884,4193.000119,4936.218188,4984.538594,5063.163537,5487.713549,5845.350717,3511.498968,3529.164207,3539.155973,3211.016194,2600.600892,3584.776841,3104.633634,1720.101741,2084.916065,1889.113549,5515.319574,5257.672964,5234.083014,3885.308868,4209.067593,3786.571668,4540.374434,4710.626285,3618.096875,3440.657641,3889.167649,3460.220369,2904.091941,4091.225367,4160.153242,4635.393727,4665.297418,4736.296021,3918.386147,3243.647638,3497.320403,3954.348872,4886.908532,5406.650997,5120.668902,5196.453117,4992.181387,4505.898911,4794.137044,1274.019231,2316.381877,3621.20491,3290.231755,3619.392214,3883.941297,4454.281648,1531.543339,3350.373114,3054.607176,4225.73958,3094.046703,3283.481384,3306.244093,3362.383827,3547.622443,3160.201734,3574.2132,3924.363006,2340.138885,2925.213667,3551.584154,3996.013639,3817.55812,4369.353499,3478.325747,3331.947629,3410.370215,4023.990557,2963.422852,3237.668915,4225.073964,4667.507365,4194.117905,4701.927796,4413.261266,4164.282651,4138.613898,4219.30089,3470.32059,3613.689251,3642.629545,4268.562404,2954.340028,3435.294747,3475.989068,3172.735413,3043.127503,4379.925798,3803.781014,4129.769969,3913.598089,3672.618276,4292.216793,4263.654536,4111.721051,3528.63288,4213.14906,2610.196353,3397.885372,4117.87263,3982.46155,4387.197283,5527.770798,4911.975163,4361.980628,4306.245464,5630.552815,4647.714492,4825.25906,4508.464262,5628.554433,5194.94947,4592.248904,5212.664865,5072.597954,5061.867244,4223.520451,3912.160528,4999.68749,4042.663107,4895.278337,5664.638117,6643.841133,7054.918497,5978.137252,4909.811605,5130.180309,5281.157544,5071.365694,5255.294949,5720.631521,4164.432734,4729.495216,4332.868565,4397.726685,6091.489966,5239.871182,4841.164633,5859.340833,5817.484422,5902.171211,6269.619207,5589.107711,6478.71515,6187.28535,6835.843035,7039.44245,6169.126762,6927.616834,6416.287868,6464.228492,6544.749804,6443.989448,7076.766564,6202.519649,7079.062438,6673.127078,8459.129683,8942.489866,8114.839801,7448.154134,7598.27283,8607.010224,8335.353922,9124.212295,8297.590012,9155.701775,8299.096336,8951.082337,9268.259006,7902.293971,8019.858166,8536.282856,7968.414209,7264.081153,7567.24025,7793.025728,6971.818271,8995.172316,7829.152253,7137.313921,7539.935345,8834.449615,8077.553776,6731.920231,7584.400108,8151.418588,6751.944164,6188.547891,7767.077958,7302.268483,7102.024359
SSp-bfd,4717.719258,2822.343884,3471.13094,1831.154008,0.0,2023.147301,1986.988928,1330.883165,1760.859165,1550.2016,2705.780848,2163.619652,1874.333215,1993.113143,2097.319718,2408.70816,3321.99112,3286.90584,3317.190076,3777.31717,4200.892762,3642.28637,3469.600121,4396.873889,4188.525994,4018.550734,4682.013456,4393.816678,3429.012248,2734.730334,3528.898553,3942.952574,3819.031291,3899.519201,2151.452997,3015.066334,3079.366818,3338.880801,6319.661779,5064.706309,4943.303551,5068.407048,4522.582227,3779.136806,4737.219649,4800.130207,4624.256697,4930.834108,4479.746087,2322.848467,1842.043702,2387.074569,2726.490418,4058.786765,4292.580809,3923.088707,3656.671984,3621.291206,2998.958152,3799.588794,2676.051195,3433.474916,3889.247999,3125.099998,3642.543754,4123.48457,4321.602712,2225.140445,4538.240298,3942.873318,5486.460608,3303.218128,4076.533454,3857.703332,3476.528441,4267.903467,3428.009627,3967.130575,4126.287678,2701.272848,3091.722821,4425.706158,4894.512233,4533.555448,5363.009883,3638.423422,3936.527658,3285.3843,3978.457616,2631.776966,2800.111605,3902.002691,4446.76849,3526.152294,4290.978909,3591.134918,3036.136525,3120.29646,3306.905653,2377.23579,2613.06812,2964.898818,3322.837643,2925.96138,3545.683996,3633.954458,3047.232351,2388.514182,4022.514761,3517.900652,4137.103455,3851.05505,3919.661975,4506.52305,4258.007163,4007.57096,2980.037751,3671.341717,2590.608037,2553.184286,3580.328197,3385.723704,4795.636037,5834.648661,5024.751238,5082.445278,5089.879665,5713.799086,5281.749237,5285.238878,4995.685639,5481.103903,5023.756065,5279.382066,5196.753794,5378.022406,4905.417923,4471.576903,4711.75392,5520.756289,3922.212386,5243.746275,4232.611487,5157.761142,5540.19404,4524.654683,4379.85445,4756.771489,4434.52365,4195.607822,3970.201506,4602.037592,3232.355952,3840.735607,3128.597929,3585.125521,4871.665526,4560.77022,4275.365481,4896.299623,5419.409562,5237.96239,5278.849306,4650.671994,5648.063828,5056.246137,6321.639423,6012.746876,5857.687257,6194.049564,5393.340801,5982.317695,5665.520717,5794.01631,6170.190435,5529.636064,5981.534084,5781.111485,7403.630866,7861.69511,7130.830947,6562.821421,6910.182704,7794.629561,7534.503965,8445.153936,7397.508026,8346.481295,7666.200167,7892.95572,8339.589318,6986.460119,7114.158418,7829.591305,7007.585176,6220.430049,6525.239459,6708.343685,5856.246665,8003.046295,7200.260412,5829.075827,6048.553546,7504.207153,6912.036603,5184.170618,6093.439095,6824.862636,5746.466305,5157.3976,6487.150761,6020.278233,5862.753193
SSp-ll,3823.447397,1599.609327,2015.099253,2737.471461,2023.147301,0.0,2313.817192,1105.384548,1207.787233,3251.345875,3487.208769,3697.042737,3293.554311,3673.639204,3877.096207,3273.950213,2816.469421,4180.983736,3576.048797,4328.539014,4082.661509,1880.990431,1753.924172,3126.599591,3194.037414,3520.209511,3636.189627,3659.576478,3612.478374,4106.473548,3905.444917,3311.155387,2907.855739,2972.688177,2294.96732,4525.345291,4655.171855,4748.289166,5812.379031,4397.939859,4594.221915,4383.277883,3669.894413,4753.551304,5256.008467,5488.909272,5454.871676,5830.20154,5676.596692,3030.676492,2136.586062,3324.906014,3246.632871,5447.304379,5219.015712,4635.59597,3795.638945,4169.607296,2891.0422,4859.140871,3384.061908,4259.768186,4940.457975,4335.536299,4691.34842,4956.435211,5058.84127,2453.950896,4416.021966,4436.848544,5646.957145,2100.446381,3269.174208,3219.666132,2421.130934,4782.324226,4215.818426,4777.159198,4717.189311,3138.271817,3562.390349,4555.902765,5144.961127,3788.469348,5133.590362,2531.550908,3680.777771,3040.250812,3743.494357,2972.477923,2919.118017,3660.942502,4046.217369,3731.202889,3689.935636,4083.273809,3389.321466,3642.886905,3649.828763,2716.730572,2341.740805,2769.927797,3492.939307,2300.407573,2985.171687,3239.019913,2152.905014,1882.319048,3199.218655,2800.223205,3700.844498,2844.951669,3164.944707,3993.979845,3645.888095,3393.007515,2394.786003,3171.257637,2812.583332,3300.473451,2430.149172,2501.749388,4337.193793,5732.909384,4826.618899,4568.164292,4882.75025,5586.87077,4878.396253,4994.684675,4833.089074,5368.018722,4904.717117,5023.320615,5119.38717,5307.306285,4617.764611,4546.495903,4611.263384,5489.820125,4212.852359,5378.545342,3616.023368,4957.633004,5069.33181,4532.728207,4712.483422,4694.278432,4636.876643,4107.158385,3560.986521,4201.562209,2967.953841,3002.811183,2806.911114,3057.572567,4929.629804,4439.876124,4529.693698,5073.275569,5269.546944,4966.953292,4917.50699,5110.834081,6211.481305,5299.410345,6735.632858,5966.783053,6000.468732,6349.261768,5680.008803,6017.889996,6036.451772,5675.055066,6123.979507,5671.750171,6618.392932,6573.478912,7604.809334,8384.024988,7671.416101,7097.094476,7331.609646,8229.633953,7723.46263,8727.112925,7734.581437,8803.017948,7886.776908,8271.827186,8628.332689,7347.703723,7194.572607,8277.718587,7028.291044,6500.048077,6649.483063,6991.155126,6139.930781,8111.219082,7255.902769,5687.486264,6060.167077,7494.080998,6985.386532,5564.620382,6697.247569,7380.760462,6833.465446,6010.043677,6545.322758,6319.56288,6443.698472
SSp-m,2901.508228,1713.548949,2324.462303,736.5459931,1986.988928,2313.817192,0.0,1343.735465,3007.490648,2108.909671,1441.136704,2333.854109,3802.137557,3798.766247,3602.516482,4351.292911,4803.774558,5216.140815,5120.363757,5648.67241,5852.189761,2916.869041,3037.680036,2944.592502,2754.655151,2205.816175,3058.28792,2672.779452,1666.958308,2756.242914,2058.822479,5371.801374,5057.482081,5055.504426,3851.379623,4683.081251,4358.683861,5002.749244,4400.284082,3158.025491,3258.162826,3641.170828,3106.545509,3446.918914,4467.731527,4601.29058,5104.59352,5173.731729,5296.225071,4094.966422,3311.532878,3816.57569,4163.757318,5424.193488,5794.555634,5431.045019,5289.67154,5224.162612,4516.705104,5220.272981,1688.3794,2799.665159,4166.008281,3832.508969,4141.557678,4357.464859,4880.893873,1624.230587,3388.583775,3401.194643,4417.224808,2735.073125,3019.312836,3169.187593,3101.310207,3913.518238,3603.036913,4043.204175,4311.974606,2613.187709,3232.162589,3751.166485,4256.832743,3637.822151,4418.568773,3197.459929,3365.542304,3464.552641,4109.744518,3180.703539,3388.952641,4309.437318,4713.080203,4397.513502,4678.474645,4693.812416,4353.877582,4390.970849,4437.904911,3624.310279,3618.528707,3699.155309,4434.875985,2840.004401,3372.499073,3477.786652,2982.65821,2971.636754,4274.195831,3713.320616,4146.383967,3716.349015,3537.036189,4279.675805,4220.633839,4065.24907,3467.167432,4205.725264,2786.687101,3703.798726,3903.443992,3847.401721,4389.191269,5697.038704,5036.367739,4312.989103,4385.344912,5794.232046,4664.091551,4903.633857,4629.119787,5794.447774,5350.23364,4665.431384,5385.803097,5245.593389,5156.549234,4432.05652,4025.232913,5181.397012,4310.52491,5141.133144,5570.738281,6680.241388,7005.132047,6071.089276,5186.641495,5295.871033,5498.238354,5193.625901,5241.958127,5739.174592,4202.380278,4617.967627,4331.137264,4375.21428,6239.090479,5371.801374,5088.897228,6068.927006,5966.416429,6000.260411,6321.046195,5878.40327,6826.32771,6401.952827,7172.429853,7194.007923,6423.248789,7169.161387,6660.987164,6679.165367,6832.184863,6599.431794,7243.488455,6434.574578,7422.979523,7080.827988,8699.8204,9277.156084,8458.908026,7794.389007,7932.134013,8943.328519,8596.547272,9429.806467,8593.747727,9502.99295,8582.68606,9247.803793,9555.266872,8200.076219,8235.631427,8885.275741,8160.154717,7516.440314,7777.571922,8047.592808,7212.575823,9219.307187,8057.178476,7228.848456,7649.223817,8978.585635,8263.284758,6921.253499,7857.361198,8450.924506,7221.928413,6586.017385,7929.375764,7528.321526,7409.875168
SSp-ul,3559.230956,1522.538998,2175.718272,1722.824715,1330.883165,1105.384548,1343.735465,0.0,1697.240407,2393.872386,2593.019475,2854.163625,3067.062927,3281.196428,3351.492205,3348.600454,3523.049106,4287.627549,3978.536163,4619.591432,4684.949306,2457.895441,2457.768297,3203.318592,3165.833224,3096.368841,3564.056677,3400.275724,2878.69328,3343.463773,3191.688425,4099.466429,3795.885931,3866.84626,2644.333564,4236.522749,4219.152759,4526.104837,5407.691282,4030.198506,4205.05648,4268.928437,3611.959302,4137.405588,4942.544891,5109.672201,5226.495001,5490.958477,5350.759292,3172.833907,2362.599204,3257.587297,3423.265984,5172.644391,5251.071319,4777.617084,4260.575079,4415.738896,3427.280263,4781.801439,2619.160171,3603.297101,4497.638269,3920.777984,4316.61036,4627.161657,4899.489769,1972.941966,4113.468731,4011.390033,5256.543541,2469.817807,3312.382073,3311.061008,2818.687638,4425.353093,3860.861303,4400.071022,4502.499306,2817.467835,3340.471524,4293.381534,4849.097854,3893.183145,4990.804043,2942.044357,3629.56609,3218.501204,3942.159941,2927.669722,3019.623321,3958.771906,4402.556076,3933.827653,4190.614513,4211.145925,3634.814301,3787.314352,3854.623847,2902.369721,2787.135626,3104.331651,3785.003303,2537.715508,3213.740033,3394.572874,2553.796194,2265.226258,3757.908328,3252.402958,3969.335587,3343.370306,3439.113258,4232.611487,3995.85723,3767.210506,2847.257452,3642.11477,2691.421557,3252.499039,3169.581991,3137.375496,4493.11974,5828.861381,5004.810186,4628.309627,4808.910999,5770.073656,4944.757325,5088.713,4855.988571,5618.829949,5151.03145,5014.292074,5300.58959,5376.976381,4924.49236,4541.888374,4475.279321,5468.432134,4220.929992,5345.14967,4410.073696,5607.472693,5841.339744,5071.61217,4858.176098,4975.25125,4937.990482,4536.587374,4233.349738,4850.644287,3441.020924,3748.332963,3379.811385,3629.47999,5407.922429,4837.548449,4716.59305,5433.346115,5617.940014,5447.132273,5533.534133,5328.34402,6377.842504,5677.202216,6894.245789,6469.302513,6206.548961,6685.712378,6018.876556,6327.469873,6305.00793,6099.231509,6597.82161,5981.690814,6823.946805,6650.657862,8024.415867,8665.592882,7912.885062,7308.428354,7547.309123,8484.986741,8084.862398,9023.684115,8053.143796,9053.659481,8188.749905,8615.900998,8987.143595,7653.634757,7627.089878,8498.896987,7500.333326,6863.763545,7088.45893,7371.100664,6512.727923,8564.315501,7623.565439,6294.193753,6633.532242,8069.270413,7482.228946,5961.70068,6994.730159,7685.294399,6792.321032,6079.987664,7067.752472,6725.139404,6705.268451
SSp-tr,4987.108381,2762.019189,3219.569071,3211.308145,1760.859165,1207.787233,3007.490648,1697.240407,0.0,3220.636583,4053.624921,3769.200844,2402.342607,2910.863274,3320.862087,2153.1953,1841.534686,3088.790216,2450.637672,3228.389691,3100.100805,3025.826333,2768.122107,4323.554672,4319.50518,4584.825515,4812.808432,4777.420852,4451.263865,4229.287765,4645.293317,2444.125611,2228.368237,2426.545899,1114.955156,3764.804112,4153.989047,3967.681943,6921.885581,5530.201172,5602.733708,5408.84692,4743.745883,5044.179814,5591.790858,5762.974492,5394.615371,5869.625201,5399.537017,2108.020398,1495.409643,2785.004488,2638.536526,4842.713599,4515.182721,3931.761692,2892.339019,3372.962348,2042.822802,4237.186567,3926.273679,4684.082087,4973.74356,4180.684753,4631.684359,5034.13349,4978.26526,3046.001477,5216.080904,4898.02256,6349.950787,3037.371396,4227.440124,4002.655369,3201.26928,5163.150685,4354.52351,4934.825225,4854.186338,3487.298381,3785.746294,5135.537947,5677.862714,4654.43337,5880.157311,3343.837616,4319.360485,3354.195134,4041.658076,3038.400072,2972.37279,3799.506547,4267.683798,3538.09624,3864.663633,3709.700123,2862.035989,3161.981183,3268.791826,2294.150169,2095.530959,2735.644348,3124.199898,2870.648881,3532.88126,3736.977388,2766.992953,2058.670688,3510.519905,3168.793146,4092.370951,3447.281538,3837.398207,4507.840392,4088.245345,3794.897891,2586.745059,3264.678392,3087.57591,2955.609074,2771.619563,2713.39271,4917.824722,6091.284758,5143.442427,5313.367576,5534.776418,5837.433083,5530.483704,5517.30233,5332.096211,5490.730826,5033.388521,5643.91265,5316.660136,5668.443349,4816.118769,4863.190825,5240.467536,5940.275667,4295.710069,5694.624658,2917.297551,4146.459333,4283.908846,3718.282534,4519.540906,4694.544706,4266.512041,3798.84851,2979.198718,3757.076656,2719.374928,2903.553857,2318.67419,2953.387885,4296.94659,4265.120162,4341.298769,4607.805877,5253.629698,4817.22171,4550.89277,4606.856303,5719.156406,4691.481642,6459.198867,5479.393215,5935.117943,6008.067493,5131.154841,5876.329637,5558.439529,5474.257941,5718.883195,5392.239794,5924.789026,5984.197941,7014.761222,7693.544372,7050.93079,6553.052724,6933.163059,7733.894556,7303.124331,8345.432883,7214.048794,8295.59371,7562.241731,7630.326009,8088.301738,6817.899237,6740.224403,7843.827191,6553.481899,5918.773099,6100.665947,6371.911016,5514.866272,7579.619054,6987.533542,5011.112651,5205.105667,6759.80769,6355.853601,4605.295865,5731.546475,6531.510162,6108.907431,5338.831801,5840.804739,5567.820489,5667.340646
SSs,4889.913087,3538.184563,4161.505136,1464.581852,1550.2016,3251.345875,2108.909671,2393.872386,3220.636583,0.0,1855.229096,649.5190528,2465.512117,2154.210992,1684.673559,3378.794164,4625.878295,3982.853876,4374.714276,4588.027899,5220.93143,4434.312235,4248.529157,4750.855186,4309.074727,3877.579786,4828.366701,4338.922677,2899.353376,1287.196566,2744.3123,5196.513254,5075.738862,5032.705535,3470.32059,2858.97709,2380.782434,3203.123476,5969.505842,4985.290864,4486.15927,4812.288956,4469.409916,2495.746381,3765.05312,3715.087482,3761.233175,3867.815921,3564.758056,3092.935499,2737.471461,2508.734741,3132.391259,3516.656793,4216.263156,4057.554682,4457.647922,4036.938815,3968.07573,3576.835193,1798.784312,2259.009739,2770.491834,2195.022779,2671.142078,3151.190251,3602.516482,1984.470962,3915.99285,2989.669714,4564.7426,3745.080106,4050.771531,3786.984288,3830.551527,3310.683464,2531.180555,2949.576241,3333.635403,2172.843759,2526.237321,3680.862671,4016.91735,4412.057343,4754.603033,3986.383072,3587.042654,3294.408141,3850.649296,2505.369234,2839.454173,3928.581169,4460.170961,3548.679332,4535.209477,3552.727825,3395.401302,3279.576954,3457.238783,2833.83574,3272.040648,3300.946834,3594.179322,3182.864276,3604.337665,3561.249781,3461.755335,2987.578451,4383.634337,3838.782359,4089.621009,4193.298225,3996.326438,4382.992699,4308.857157,4129.013199,3443.653583,3994.136327,2400.130205,2527.474035,4248.161367,3973.034105,4541.200282,5325.293419,4708.768416,4748.354978,4533.624378,5327.581534,4880.701794,4867.301614,4507.3551,5216.859688,4802.343178,4766.418991,4858.176098,4875.320502,4784.08821,3967.130575,4114.000486,4899.681112,3510.786949,4602.037592,5270.495707,5967.044914,6515.894029,5226.674373,4153.763354,4635.056634,4505.066592,4466.682214,4767.402333,5202.703624,3739.986631,4549.793951,3895.028883,4104.266073,5298.938573,4681.746469,4126.969227,5041.515149,5323.826162,5391.02263,5716.697036,4638.493829,5447.132273,5297.405025,5946.532603,6275.049801,5520.699684,6116.933464,5502.840176,5807.645823,5602.789484,5825.375524,6331.913218,5443.459378,5954.462612,5509.820777,7515.442435,7825.958408,7020.550192,6390.226913,6636.358188,7586.048049,7449.538576,8204.495719,7314.711204,8114.60874,7440.76609,7906.445156,8283.907592,6914.0256,7176.741949,7535.126077,7147.945509,6317.188853,6691.085487,6822.114775,6025.674236,8097.260339,7072.349327,6395.213054,6710.113635,7966.335418,7197.004585,5764.655237,6468.626207,7024.466172,5441.392285,4998.562293,6896.557112,6325.790464,5996.561515
